,job_id,date_posted,scraping_date,title,location,company,industry,job_level,job_type,workplace_type,company_size,total_applicants
110,111,6 days ago,2023-06-08,IAM Consultant,Nordics,InterEx Group,Staffing and Recruiting,Mid-Senior level,Contract,Remote,51-200 employees,46
111,112,3 weeks ago,2023-06-08,Data Analyst,"Dubai, Dubai, United Arab Emirates",PRIME IMMIGRATION LIMITED,,Entry level,Full-time,On-site,Law Practice,5
112,113,4 days ago,2023-06-08,Outsystems Jr. Developer Associate,"Makati, National Capital Region, Philippines",SGV & Co.,Professional Services,Associate,Full-time,Hybrid,"5,001-10,000 employees",271
113,114,3 days ago,2023-06-08,Deal Desk Analyst,NAMER,Catchpoint,Software Development,Contract,,Remote,201-500 employees,363
114,115,4 weeks ago,2023-06-08,Java Technical Lead,"Mumbai, Maharashtra, India",Intellect Design Arena Ltd,Software Development,Mid-Senior level,Full-time,On-site,"5,001-10,000 employees",183
115,116,2 weeks ago,2023-06-08,Salesforce Architect,"Hyderabad, Telangana, India",Accellor,IT Services and IT Consulting,Mid-Senior level,Full-time,Hybrid,201-500 employees,53
116,117,1 month ago,2023-06-08,Senior Java Developer,"Pune, Maharashtra, India",Medline India,Information Services,Mid-Senior level,Full-time,Hybrid,"1,001-5,000 employees",916
117,118,1 week ago,2023-06-08,Power BI Data Visualization Specialist,"Redhill, England, United Kingdom",Nigel Frank International,Staffing and Recruiting,Entry level,Full-time,Hybrid,"1,001-5,000 employees",3
118,119,1 week ago,2023-06-08,Senior Lead Implementation Analyst,"Noida, Uttar Pradesh, India",LifeWorks (acquise par TELUS Santé | acquired by TELUS Health),Human Resources Services,Mid-Senior level,Full-time,Unknown,"5,001-10,000 employees",104
119,120,3 weeks ago,2023-06-08,SAP MDM Analyst/Lead,"Hyderabad, Telangana, India",Callaway Digital Technologies,Sporting Goods Manufacturing,Mid-Senior level,Full-time,Hybrid,11-50 employees,245
120,121,2 weeks ago,2023-06-08,Dynamics Developer,"Bengaluru, Karnataka, India",POTENTIAM LTD,Outsourcing and Offshoring Consulting,Mid-Senior level,Full-time,On-site,201-500 employees,59
121,122,3 weeks ago,2023-06-08,Biocompatibility Specialist,EMEA,KellyOCG,Business Consulting and Services,Associate,Full-time,Remote,"1,001-5,000 employees",285
122,123,3 weeks ago,2023-06-08,Staff / Senior Machine Learning/Data Engineer,Sub-Saharan Africa,Viamo,International Trade and Development,Mid-Senior level,Full-time,Remote,201-500 employees,275
123,124,2 weeks ago,2023-06-08,Product Manager (Developer Experience),EMEA,IOV Labs,IT Services and IT Consulting,Mid-Senior level,Full-time,Remote,51-200 employees,928
124,125,4 days ago,2023-06-08,Cybersecurity Solution Architect,EMEA,Toshiba Global Commerce Solutions,"Technology, Information and Internet",Mid-Senior level,Full-time,Remote,"1,001-5,000 employees",700
125,126,1 week ago,2023-06-08,Data Analyst im Home-Office (m/w/d),"Bonn, North Rhine-Westphalia, Germany",Randstad Deutschland,Human Resources Services,Entry level,Full-time,Unknown,"10,001+ employees",5
126,127,3 hours ago,2023-06-08,Data Analyst – Process Automation (m/w/d),"Hamburg, Hamburg, Germany",Statista,"Technology, Information and Media",Mid-Senior level,Full-time,On-site,"1,001-5,000 employees",11
127,128,4 days ago,2023-06-08,Staff Machine Learning Engineer - Language Modeling (Remote),NAMER,Quora,"Technology, Information and Internet",Mid-Senior level,Full-time,Remote,201-500 employees,63
128,129,3 weeks ago,2023-06-08,Senior / Lead - Statistical Programmer,"Bengaluru, Karnataka, India",ClinChoice,Pharmaceutical Manufacturing,Mid-Senior level,Full-time,On-site,"1,001-5,000 employees",149
129,130,4 weeks ago,2023-06-08,Lead Datamart Developer,"Bengaluru, Karnataka, India",Luxoft,IT Services and IT Consulting,Mid-Senior level,Full-time,Hybrid,"10,001+ employees",36
